,Original_MRP,Discounted_Price,Product Height,Product Width,Product Depth,Machine Weight,Washing Capacity,combinedtext
1,24990,16491,87.0,54.0,56.0,30,6.5,"LG 6.5Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis"
2,30490,19990,92.5,54.0,56.0,32,7.0,"LG 7Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis"
3,28490,17490,91.0,54.0,56.0,31,7.0,"LG 7Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis"
5,52990,35990,85.0,60.0,45.5,63,7.0,"LG 7Kg Front Load Washing Machine, AI Direct Drive™, Platinum SilverSteam ThinQ Wi-Fi Steam ThinQ Wi-Fi Delay Timer 6 Motion DD AI DD End of Cycle Signal Add Item Auto Restart Inverter DirectDrive LoadSense Steam Stainless Steel Drum TurboWash Cotton Allergy Care washer Cotton+ Delicates Download Cycle Easy Care Mixed Fabric Speed 14 Tub Clean TurboWash 59 Wool Hand/Wool Wi-Fi Add Item Beep On/Off Child Lock Pre Wash Remote Start Spin Steam TurboWash Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing Tub Clean Coach Delay Timer 6 Motion DD AI DD End of Cycle Signal Add Item Auto Restart Inverter DirectDrive LoadSense Steam Stainless Steel Drum TurboWash Cotton Allergy Care washer Cotton+ Delicates Download Cycle Easy Care Mixed Fabric Speed 14 Tub Clean TurboWash 59 Wool Hand/Wool Wi-Fi Add Item Beep On/Off Child Lock Pre Wash Remote Start Spin Steam TurboWash Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing Tub Clean Coach"
8,29490,20490,91.0,54.0,56.0,31,7.5,"LG 7.5Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Tub Clean Smart Diagnosis"
9,37490,24490,92.5,54.0,56.0,32,8.0,"LG 8Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis"
14,31490,23490,92.5,54.0,56.0,32,7.5,"LG 7.5Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Stain Care Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis"
19,71990,58490,85.0,60.0,56.5,59,11.0,"LG 11Kg Front Load Washing Machine, AI Direct Drive™, Black VCMWrinkle Care ThinQ Wi-Fi Wrinkle Care ThinQ Wi-Fi Delay Timer Door Lock Indication End of Cycle Signal TurboWash Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam+ TurboWash360˚ Vibration Sensor 6 Motion DD Add Item AI DD Auto Restart Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Download Cycle Duvet Easy Care Mixed Fabric Silent Wash Speed 14 Sportswear Tub Clean TurboWash 39 Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis ThinQ Wi-Fi Tub Clean Coach Smart Pairing Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam TurboWash Wi-Fi Wrinkle Care Delay Timer Door Lock Indication End of Cycle Signal TurboWash Foam detection system Inverter DirectDrive Leveling Legs LoadSense Stainless Steel Drum Steam+ TurboWash360˚ Vibration Sensor 6 Motion DD Add Item AI DD Auto Restart Baby Steam Care Allergy Care washer Cotton Cotton+ Delicates Download Cycle Duvet Easy Care Mixed Fabric Silent Wash Speed 14 Sportswear Tub Clean TurboWash 39 Wool Hand/Wool Download Cycle Energy Monitoring Remote Start and Cycle Monitor Smart Diagnosis ThinQ Wi-Fi Tub Clean Coach Smart Pairing Add Item Beep On/Off Child Lock Delay End Pre Wash Remote Start Rinse+ Spin Steam TurboWash Wi-Fi Wrinkle Care"
21,25490,19990,92.5,54.0,56.0,32,7.0,"LG 7Kg Top Load Washing Machine, Smart Inverter Motor, Middle Free Silver3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Strong Wave Tub Clean Wool Wash Only Aqua Reserve Child Lock Soak Spin Only Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis 3 Motion End of Cycle Signal Auto Restart LoadSense Lint Filter Punch 3 Side Water Fall Smart Inverter Motor Soft Closing Door TurboDrum Gentle Wool Saree Strong Jeans Aqua Reserve Favorite Normal Pre Wash+Normal Quick Wash Strong Wave Tub Clean Wool Wash Only Aqua Reserve Child Lock Soak Spin Only Rinse Rinse Spin Time Delay Tub Clean Smart Diagnosis"
22,47490,34991,94.5,54.0,56.0,35,10.0,"LG 10Kg Top Load Washing Machine, AI Direct Drive™, Platinum BlackSteam ThinQ Wi-Fi Steam ThinQ Wi-Fi TurboWash LoadSense Steam JetSpray Lint Filter Semi Stainless Steel Drum Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans Allergy Care washer AI Wash Download Cycle Drain Spin Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Steam Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing TurboWash LoadSense Steam JetSpray Lint Filter Semi Stainless Steel Drum Side Water Fall Smart Motion Soft Closing Door TurboDrum Water Level Gentle Wool Saree Strong Jeans Allergy Care washer AI Wash Download Cycle Drain Spin Normal Quick Wash Rinse Spin Tub Clean Wash Only Aqua Reserve Child Lock Soak Spin Only Remote Start Strong Wave Rinse Rinse Spin Time Delay Steam Smart Diagnosis Download Cycle Energy Monitoring Remote Start and Cycle Monitor ThinQ Wi-Fi Smart Pairing"
